uniqPhages,uniqSpecies,Infectivity
1.079.O.,Vibrio jasicida,NoInf
1.079.O.,Vibrio kanaloae,NoInf
1.079.O.,Vibrio lentus,Inf
1.079.O.,Vibrio parahaemolyticus,NoInf
1.079.O.,Vibrio sp. 10N.1,NoInf
1.079.O.,Vibrio sp. 10N.2,NoInf
1.079.O.,Vibrio sp. 10N.3,NoInf
1.079.O.,Vibrio sp. 10N.4,NoInf
1.079.O.,Vibrio sp. 10N.5,NoInf
1.079.O.,Vibrio sp. F12,NoInf
1.079.O.,Vibrio sp. F13,NoInf
1.079.O.,Vibrio splendidus,NoInf
1.079.O.,Vibrio tasmaniensis,NoInf
1.079.O.,Vibrio vulnificus,NoInf
1.080.O.,Aliivibrio fischeri,NoInf
1.080.O.,Enterovibrio norvegicus,NoInf
1.080.O.,Shewanella sp. 10N.6,NoInf
1.080.O.,Shewanella sp. 10N.7,NoInf
1.080.O.,Vibrio alginolyticus,NoInf
1.080.O.,Vibrio anguillarum,NoInf
1.080.O.,Vibrio breoganii,NoInf
1.080.O.,Vibrio cyclitrophicus,Inf
1.080.O.,Vibrio jasicida,NoInf
1.080.O.,Vibrio kanaloae,Inf
1.080.O.,Vibrio lentus,Inf
1.080.O.,Vibrio parahaemolyticus,NoInf
1.080.O.,Vibrio sp. 10N.1,NoInf
1.080.O.,Vibrio sp. 10N.2,NoInf
1.080.O.,Vibrio sp. 10N.3,NoInf
1.080.O.,Vibrio sp. 10N.4,NoInf
1.080.O.,Vibrio sp. 10N.5,NoInf
1.080.O.,Vibrio sp. F12,Inf
1.080.O.,Vibrio sp. F13,NoInf
1.080.O.,Vibrio splendidus,Inf
1.080.O.,Vibrio tasmaniensis,NoInf
1.080.O.,Vibrio vulnificus,NoInf
1.081.O.,Aliivibrio fischeri,NoInf
1.081.O.,Enterovibrio norvegicus,NoInf
1.081.O.,Shewanella sp. 10N.6,Inf
1.081.O.,Shewanella sp. 10N.7,NoInf
1.081.O.,Vibrio alginolyticus,NoInf
1.081.O.,Vibrio anguillarum,NoInf
1.081.O.,Vibrio breoganii,NoInf
1.081.O.,Vibrio cyclitrophicus,NoInf
1.081.O.,Vibrio jasicida,NoInf
1.081.O.,Vibrio kanaloae,NoInf
1.081.O.,Vibrio lentus,NoInf
1.081.O.,Vibrio parahaemolyticus,NoInf
1.081.O.,Vibrio sp. 10N.1,NoInf
1.081.O.,Vibrio sp. 10N.2,NoInf
1.081.O.,Vibrio sp. 10N.3,NoInf
1.081.O.,Vibrio sp. 10N.4,NoInf
1.081.O.,Vibrio sp. 10N.5,NoInf
1.081.O.,Vibrio sp. F12,NoInf
1.081.O.,Vibrio sp. F13,NoInf
1.081.O.,Vibrio splendidus,NoInf
1.081.O.,Vibrio tasmaniensis,NoInf
1.081.O.,Vibrio vulnificus,NoInf
1.082.O.,Aliivibrio fischeri,NoInf
1.082.O.,Enterovibrio norvegicus,NoInf
1.082.O.,Shewanella sp. 10N.6,NoInf
1.082.O.,Shewanella sp. 10N.7,NoInf
1.082.O.,Vibrio alginolyticus,NoInf
1.082.O.,Vibrio anguillarum,NoInf
1.082.O.,Vibrio breoganii,Inf
1.082.O.,Vibrio cyclitrophicus,NoInf
1.082.O.,Vibrio jasicida,NoInf
1.082.O.,Vibrio kanaloae,NoInf
1.082.O.,Vibrio lentus,NoInf
1.082.O.,Vibrio parahaemolyticus,NoInf
1.082.O.,Vibrio sp. 10N.1,NoInf
1.082.O.,Vibrio sp. 10N.2,NoInf
1.082.O.,Vibrio sp. 10N.3,NoInf
1.082.O.,Vibrio sp. 10N.4,NoInf
1.082.O.,Vibrio sp. 10N.5,NoInf
1.082.O.,Vibrio sp. F12,NoInf
1.082.O.,Vibrio sp. F13,NoInf
1.082.O.,Vibrio splendidus,NoInf
1.082.O.,Vibrio tasmaniensis,NoInf
1.082.O.,Vibrio vulnificus,NoInf
1.083.O.,Aliivibrio fischeri,NoInf
1.083.O.,Enterovibrio norvegicus,NoInf
1.083.O.,Shewanella sp. 10N.6,Inf
1.083.O.,Shewanella sp. 10N.7,NoInf
1.083.O.,Vibrio alginolyticus,NoInf
1.083.O.,Vibrio anguillarum,NoInf
1.083.O.,Vibrio breoganii,Inf
1.083.O.,Vibrio cyclitrophicus,NoInf
1.083.O.,Vibrio jasicida,NoInf
1.083.O.,Vibrio kanaloae,NoInf
1.083.O.,Vibrio lentus,NoInf
1.083.O.,Vibrio parahaemolyticus,NoInf
1.083.O.,Vibrio sp. 10N.1,NoInf
1.083.O.,Vibrio sp. 10N.2,NoInf
1.083.O.,Vibrio sp. 10N.3,NoInf
1.083.O.,Vibrio sp. 10N.4,NoInf
1.083.O.,Vibrio sp. 10N.5,NoInf
1.083.O.,Vibrio sp. F12,NoInf
1.083.O.,Vibrio sp. F13,NoInf
1.083.O.,Vibrio splendidus,NoInf
1.083.O.,Vibrio tasmaniensis,NoInf
1.083.O.,Vibrio vulnificus,NoInf
1.084.O.,Aliivibrio fischeri,NoInf
1.084.O.,Enterovibrio norvegicus,Inf
1.084.O.,Shewanella sp. 10N.6,NoInf
1.084.O.,Shewanella sp. 10N.7,NoInf
1.084.O.,Vibrio alginolyticus,NoInf
1.084.O.,Vibrio anguillarum,NoInf
1.084.O.,Vibrio breoganii,NoInf
1.084.O.,Vibrio cyclitrophicus,NoInf
1.084.O.,Vibrio jasicida,NoInf
1.084.O.,Vibrio kanaloae,NoInf
1.084.O.,Vibrio lentus,NoInf
1.084.O.,Vibrio parahaemolyticus,NoInf
1.084.O.,Vibrio sp. 10N.1,NoInf
1.084.O.,Vibrio sp. 10N.2,NoInf
1.084.O.,Vibrio sp. 10N.3,NoInf
1.084.O.,Vibrio sp. 10N.4,NoInf
1.084.O.,Vibrio sp. 10N.5,NoInf
1.084.O.,Vibrio sp. F12,NoInf
1.084.O.,Vibrio sp. F13,NoInf
1.084.O.,Vibrio splendidus,NoInf
1.084.O.,Vibrio tasmaniensis,NoInf
1.084.O.,Vibrio vulnificus,NoInf
1.085.O.,Aliivibrio fischeri,NoInf
1.085.O.,Enterovibrio norvegicus,NoInf
1.085.O.,Shewanella sp. 10N.6,NoInf
1.085.O.,Shewanella sp. 10N.7,NoInf
1.085.O.,Vibrio alginolyticus,NoInf
1.085.O.,Vibrio anguillarum,NoInf
1.085.O.,Vibrio breoganii,Inf
1.085.O.,Vibrio cyclitrophicus,NoInf
1.085.O.,Vibrio jasicida,NoInf
1.085.O.,Vibrio kanaloae,NoInf
1.085.O.,Vibrio lentus,Inf
1.085.O.,Vibrio parahaemolyticus,NoInf
1.085.O.,Vibrio sp. 10N.1,NoInf
1.085.O.,Vibrio sp. 10N.2,NoInf
1.085.O.,Vibrio sp. 10N.3,NoInf
1.085.O.,Vibrio sp. 10N.4,NoInf
1.085.O.,Vibrio sp. 10N.5,NoInf
1.085.O.,Vibrio sp. F12,NoInf
1.085.O.,Vibrio sp. F13,NoInf
1.085.O.,Vibrio splendidus,NoInf
1.085.O.,Vibrio tasmaniensis,NoInf
1.085.O.,Vibrio vulnificus,NoInf
1.086.O.,Aliivibrio fischeri,NoInf
1.086.O.,Enterovibrio norvegicus,NoInf
1.086.O.,Shewanella sp. 10N.6,NoInf
1.086.O.,Shewanella sp. 10N.7,NoInf
1.086.O.,Vibrio alginolyticus,NoInf
1.086.O.,Vibrio anguillarum,NoInf
1.086.O.,Vibrio breoganii,NoInf
1.086.O.,Vibrio cyclitrophicus,NoInf
1.086.O.,Vibrio jasicida,NoInf
1.086.O.,Vibrio kanaloae,NoInf
1.086.O.,Vibrio lentus,NoInf
1.086.O.,Vibrio parahaemolyticus,NoInf
1.086.O.,Vibrio sp. 10N.1,NoInf
1.086.O.,Vibrio sp. 10N.2,NoInf
1.086.O.,Vibrio sp. 10N.3,NoInf
1.086.O.,Vibrio sp. 10N.4,NoInf
1.086.O.,Vibrio sp. 10N.5,NoInf
1.086.O.,Vibrio sp. F12,NoInf
1.086.O.,Vibrio sp. F13,NoInf
1.086.O.,Vibrio splendidus,Inf
1.086.O.,Vibrio tasmaniensis,NoInf
1.086.O.,Vibrio vulnificus,NoInf
1.087.A.,Aliivibrio fischeri,NoInf
1.087.A.,Enterovibrio norvegicus,NoInf
1.087.A.,Shewanella sp. 10N.6,NoInf
1.087.A.,Shewanella sp. 10N.7,NoInf
1.087.A.,Vibrio alginolyticus,NoInf
1.087.A.,Vibrio anguillarum,NoInf
1.087.A.,Vibrio breoganii,NoInf
1.087.A.,Vibrio cyclitrophicus,NoInf
1.087.A.,Vibrio jasicida,NoInf
1.087.A.,Vibrio kanaloae,NoInf
1.087.A.,Vibrio lentus,Inf
1.087.A.,Vibrio parahaemolyticus,NoInf
1.087.A.,Vibrio sp. 10N.1,NoInf
1.087.A.,Vibrio sp. 10N.2,NoInf
1.087.A.,Vibrio sp. 10N.3,NoInf
1.087.A.,Vibrio sp. 10N.4,NoInf
1.087.A.,Vibrio sp. 10N.5,NoInf
1.087.A.,Vibrio sp. F12,NoInf
1.087.A.,Vibrio sp. F13,NoInf
1.087.A.,Vibrio splendidus,NoInf
1.087.A.,Vibrio tasmaniensis,NoInf
1.087.A.,Vibrio vulnificus,NoInf
1.088.O.,Aliivibrio fischeri,NoInf
1.088.O.,Enterovibrio norvegicus,NoInf
1.088.O.,Shewanella sp. 10N.6,NoInf
1.088.O.,Shewanella sp. 10N.7,NoInf
1.088.O.,Vibrio alginolyticus,NoInf
1.088.O.,Vibrio anguillarum,NoInf
1.088.O.,Vibrio breoganii,NoInf
1.088.O.,Vibrio cyclitrophicus,NoInf
1.088.O.,Vibrio jasicida,NoInf
1.088.O.,Vibrio kanaloae,NoInf
1.088.O.,Vibrio lentus,Inf
1.088.O.,Vibrio parahaemolyticus,NoInf
1.088.O.,Vibrio sp. 10N.1,NoInf
1.088.O.,Vibrio sp. 10N.2,NoInf
1.088.O.,Vibrio sp. 10N.3,NoInf
1.088.O.,Vibrio sp. 10N.4,NoInf
1.088.O.,Vibrio sp. 10N.5,NoInf
1.088.O.,Vibrio sp. F12,NoInf
1.088.O.,Vibrio sp. F13,NoInf
1.088.O.,Vibrio splendidus,NoInf
1.088.O.,Vibrio tasmaniensis,NoInf
1.088.O.,Vibrio vulnificus,NoInf
1.089.O.,Aliivibrio fischeri,NoInf
1.089.O.,Enterovibrio norvegicus,NoInf
1.089.O.,Shewanella sp. 10N.6,NoInf
1.089.O.,Shewanella sp. 10N.7,NoInf
1.089.O.,Vibrio alginolyticus,NoInf
1.089.O.,Vibrio anguillarum,NoInf
1.089.O.,Vibrio breoganii,NoInf
1.089.O.,Vibrio cyclitrophicus,NoInf
1.089.O.,Vibrio jasicida,NoInf
1.089.O.,Vibrio kanaloae,NoInf
1.089.O.,Vibrio lentus,Inf
1.089.O.,Vibrio parahaemolyticus,NoInf
1.089.O.,Vibrio sp. 10N.1,NoInf
1.089.O.,Vibrio sp. 10N.2,NoInf
1.089.O.,Vibrio sp. 10N.3,NoInf
1.089.O.,Vibrio sp. 10N.4,NoInf
1.089.O.,Vibrio sp. 10N.5,NoInf
1.089.O.,Vibrio sp. F12,NoInf
1.089.O.,Vibrio sp. F13,NoInf
1.089.O.,Vibrio splendidus,NoInf
1.089.O.,Vibrio tasmaniensis,NoInf
1.089.O.,Vibrio vulnificus,NoInf
1.090.B.,Aliivibrio fischeri,NoInf
1.090.B.,Enterovibrio norvegicus,NoInf
1.090.B.,Shewanella sp. 10N.6,NoInf
1.090.B.,Shewanella sp. 10N.7,NoInf
1.090.B.,Vibrio alginolyticus,NoInf
1.090.B.,Vibrio anguillarum,NoInf
1.090.B.,Vibrio breoganii,NoInf
1.090.B.,Vibrio cyclitrophicus,NoInf
1.090.B.,Vibrio jasicida,NoInf
1.090.B.,Vibrio kanaloae,NoInf
1.090.B.,Vibrio lentus,NoInf
1.090.B.,Vibrio parahaemolyticus,NoInf
1.090.B.,Vibrio sp. 10N.1,NoInf
1.090.B.,Vibrio sp. 10N.2,NoInf
1.090.B.,Vibrio sp. 10N.3,NoInf
1.090.B.,Vibrio sp. 10N.4,NoInf
1.090.B.,Vibrio sp. 10N.5,NoInf
1.090.B.,Vibrio sp. F12,NoInf
1.090.B.,Vibrio sp. F13,NoInf
1.090.B.,Vibrio splendidus,NoInf
1.090.B.,Vibrio tasmaniensis,NoInf
1.090.B.,Vibrio vulnificus,NoInf
1.091.O.,Aliivibrio fischeri,NoInf
1.091.O.,Enterovibrio norvegicus,NoInf
1.091.O.,Shewanella sp. 10N.6,NoInf
1.091.O.,Shewanella sp. 10N.7,NoInf
1.091.O.,Vibrio alginolyticus,NoInf
1.091.O.,Vibrio anguillarum,NoInf
1.091.O.,Vibrio breoganii,NoInf
1.091.O.,Vibrio cyclitrophicus,NoInf
1.091.O.,Vibrio jasicida,NoInf
1.091.O.,Vibrio kanaloae,NoInf
1.091.O.,Vibrio lentus,Inf
1.091.O.,Vibrio parahaemolyticus,NoInf
1.091.O.,Vibrio sp. 10N.1,NoInf
1.091.O.,Vibrio sp. 10N.2,NoInf
1.091.O.,Vibrio sp. 10N.3,NoInf
1.091.O.,Vibrio sp. 10N.4,NoInf
1.091.O.,Vibrio sp. 10N.5,NoInf
1.091.O.,Vibrio sp. F12,NoInf
1.091.O.,Vibrio sp. F13,NoInf
1.091.O.,Vibrio splendidus,NoInf
1.091.O.,Vibrio tasmaniensis,NoInf
1.091.O.,Vibrio vulnificus,NoInf
1.093.O.,Aliivibrio fischeri,NoInf
1.093.O.,Enterovibrio norvegicus,NoInf
1.093.O.,Shewanella sp. 10N.6,NoInf
1.093.O.,Shewanella sp. 10N.7,NoInf
1.093.O.,Vibrio alginolyticus,NoInf
1.093.O.,Vibrio anguillarum,NoInf
1.093.O.,Vibrio breoganii,NoInf
1.093.O.,Vibrio cyclitrophicus,NoInf
1.093.O.,Vibrio jasicida,NoInf
1.093.O.,Vibrio kanaloae,NoInf
1.093.O.,Vibrio lentus,NoInf
1.093.O.,Vibrio parahaemolyticus,NoInf
1.093.O.,Vibrio sp. 10N.1,NoInf
1.093.O.,Vibrio sp. 10N.2,NoInf
1.093.O.,Vibrio sp. 10N.3,NoInf
1.093.O.,Vibrio sp. 10N.4,NoInf
1.093.O.,Vibrio sp. 10N.5,NoInf
1.093.O.,Vibrio sp. F12,Inf
1.093.O.,Vibrio sp. F13,NoInf
1.093.O.,Vibrio splendidus,NoInf
1.093.O.,Vibrio tasmaniensis,NoInf
1.093.O.,Vibrio vulnificus,NoInf
1.094.O.,Aliivibrio fischeri,NoInf
1.094.O.,Enterovibrio norvegicus,NoInf
1.094.O.,Shewanella sp. 10N.6,NoInf
1.094.O.,Shewanella sp. 10N.7,NoInf
1.094.O.,Vibrio alginolyticus,NoInf
1.094.O.,Vibrio anguillarum,NoInf
1.094.O.,Vibrio breoganii,NoInf
1.094.O.,Vibrio cyclitrophicus,NoInf
1.094.O.,Vibrio jasicida,NoInf
1.094.O.,Vibrio kanaloae,NoInf
1.094.O.,Vibrio lentus,NoInf
1.094.O.,Vibrio parahaemolyticus,NoInf
1.094.O.,Vibrio sp. 10N.1,NoInf
1.094.O.,Vibrio sp. 10N.2,NoInf
1.094.O.,Vibrio sp. 10N.3,NoInf
1.094.O.,Vibrio sp. 10N.4,NoInf
1.094.O.,Vibrio sp. 10N.5,NoInf
1.094.O.,Vibrio sp. F12,Inf
1.094.O.,Vibrio sp. F13,NoInf
1.094.O.,Vibrio splendidus,NoInf
1.094.O.,Vibrio tasmaniensis,NoInf
1.094.O.,Vibrio vulnificus,NoInf
1.095.O.,Aliivibrio fischeri,NoInf
1.095.O.,Enterovibrio norvegicus,NoInf
1.095.O.,Shewanella sp. 10N.6,NoInf
1.095.O.,Shewanella sp. 10N.7,NoInf
1.095.O.,Vibrio alginolyticus,NoInf
1.095.O.,Vibrio anguillarum,NoInf
1.095.O.,Vibrio breoganii,NoInf
1.095.O.,Vibrio cyclitrophicus,Inf
1.095.O.,Vibrio jasicida,NoInf
1.095.O.,Vibrio kanaloae,NoInf
1.095.O.,Vibrio lentus,Inf
1.095.O.,Vibrio parahaemolyticus,NoInf
1.095.O.,Vibrio sp. 10N.1,NoInf
1.095.O.,Vibrio sp. 10N.2,NoInf
1.095.O.,Vibrio sp. 10N.3,NoInf
1.095.O.,Vibrio sp. 10N.4,NoInf
1.095.O.,Vibrio sp. 10N.5,NoInf
1.095.O.,Vibrio sp. F12,Inf
1.095.O.,Vibrio sp. F13,NoInf
1.095.O.,Vibrio splendidus,Inf
1.095.O.,Vibrio tasmaniensis,NoInf
1.095.O.,Vibrio vulnificus,NoInf
1.097.O.,Aliivibrio fischeri,NoInf
1.097.O.,Enterovibrio norvegicus,NoInf
1.097.O.,Shewanella sp. 10N.6,NoInf
1.097.O.,Shewanella sp. 10N.7,NoInf
1.097.O.,Vibrio alginolyticus,NoInf
1.097.O.,Vibrio anguillarum,NoInf
1.097.O.,Vibrio breoganii,NoInf
1.097.O.,Vibrio cyclitrophicus,NoInf
1.097.O.,Vibrio jasicida,NoInf
1.097.O.,Vibrio kanaloae,NoInf
1.097.O.,Vibrio lentus,NoInf
1.097.O.,Vibrio parahaemolyticus,NoInf
1.097.O.,Vibrio sp. 10N.1,NoInf
1.097.O.,Vibrio sp. 10N.2,NoInf
1.097.O.,Vibrio sp. 10N.3,NoInf
1.097.O.,Vibrio sp. 10N.4,NoInf
1.097.O.,Vibrio sp. 10N.5,Inf
1.097.O.,Vibrio sp. F12,NoInf
1.097.O.,Vibrio sp. F13,NoInf
1.097.O.,Vibrio splendidus,NoInf
1.097.O.,Vibrio tasmaniensis,NoInf
1.097.O.,Vibrio vulnificus,NoInf
1.098.O.,Aliivibrio fischeri,NoInf
1.098.O.,Enterovibrio norvegicus,NoInf
1.098.O.,Shewanella sp. 10N.6,NoInf
1.098.O.,Shewanella sp. 10N.7,NoInf
1.098.O.,Vibrio alginolyticus,NoInf
1.098.O.,Vibrio anguillarum,NoInf
1.098.O.,Vibrio breoganii,NoInf
1.098.O.,Vibrio cyclitrophicus,NoInf
1.098.O.,Vibrio jasicida,NoInf
1.098.O.,Vibrio kanaloae,NoInf
1.098.O.,Vibrio lentus,Inf
1.098.O.,Vibrio parahaemolyticus,NoInf
1.098.O.,Vibrio sp. 10N.1,NoInf
1.098.O.,Vibrio sp. 10N.2,NoInf
1.098.O.,Vibrio sp. 10N.3,NoInf
1.098.O.,Vibrio sp. 10N.4,NoInf
1.098.O.,Vibrio sp. 10N.5,NoInf
1.098.O.,Vibrio sp. F12,NoInf
1.098.O.,Vibrio sp. F13,NoInf
1.098.O.,Vibrio splendidus,NoInf
1.098.O.,Vibrio tasmaniensis,NoInf
1.098.O.,Vibrio vulnificus,NoInf
1.100.O.,Aliivibrio fischeri,NoInf
1.100.O.,Enterovibrio norvegicus,NoInf
1.100.O.,Shewanella sp. 10N.6,NoInf
1.100.O.,Shewanella sp. 10N.7,NoInf
1.100.O.,Vibrio alginolyticus,NoInf
1.100.O.,Vibrio anguillarum,NoInf
1.100.O.,Vibrio breoganii,NoInf
1.100.O.,Vibrio cyclitrophicus,NoInf
1.100.O.,Vibrio jasicida,NoInf
1.100.O.,Vibrio kanaloae,NoInf
1.100.O.,Vibrio lentus,Inf
1.100.O.,Vibrio parahaemolyticus,NoInf
1.100.O.,Vibrio sp. 10N.1,NoInf
1.100.O.,Vibrio sp. 10N.2,NoInf
1.100.O.,Vibrio sp. 10N.3,NoInf
1.100.O.,Vibrio sp. 10N.4,NoInf
1.100.O.,Vibrio sp. 10N.5,NoInf
1.100.O.,Vibrio sp. F12,NoInf
1.100.O.,Vibrio sp. F13,NoInf
1.100.O.,Vibrio splendidus,NoInf
1.100.O.,Vibrio tasmaniensis,NoInf
1.100.O.,Vibrio vulnificus,NoInf
1.101.O.,Aliivibrio fischeri,NoInf
1.101.O.,Enterovibrio norvegicus,Inf
1.101.O.,Shewanella sp. 10N.6,NoInf
1.101.O.,Shewanella sp. 10N.7,NoInf
1.101.O.,Vibrio alginolyticus,NoInf
1.101.O.,Vibrio anguillarum,NoInf
1.101.O.,Vibrio breoganii,NoInf
1.101.O.,Vibrio cyclitrophicus,NoInf
1.101.O.,Vibrio jasicida,NoInf
1.101.O.,Vibrio kanaloae,NoInf
1.101.O.,Vibrio lentus,NoInf
1.101.O.,Vibrio parahaemolyticus,NoInf
1.101.O.,Vibrio sp. 10N.1,NoInf
1.101.O.,Vibrio sp. 10N.2,NoInf
1.101.O.,Vibrio sp. 10N.3,NoInf
1.101.O.,Vibrio sp. 10N.4,NoInf
1.101.O.,Vibrio sp. 10N.5,NoInf
1.101.O.,Vibrio sp. F12,NoInf
1.101.O.,Vibrio sp. F13,NoInf
1.101.O.,Vibrio splendidus,NoInf
1.101.O.,Vibrio tasmaniensis,NoInf
1.101.O.,Vibrio vulnificus,NoInf
1.102.O.,Aliivibrio fischeri,NoInf
1.102.O.,Enterovibrio norvegicus,NoInf
1.102.O.,Shewanella sp. 10N.6,NoInf
1.102.O.,Shewanella sp. 10N.7,NoInf
1.102.O.,Vibrio alginolyticus,NoInf
1.102.O.,Vibrio anguillarum,NoInf
1.102.O.,Vibrio breoganii,NoInf
1.102.O.,Vibrio cyclitrophicus,Inf
1.102.O.,Vibrio jasicida,NoInf
1.102.O.,Vibrio kanaloae,NoInf
1.102.O.,Vibrio lentus,Inf
1.102.O.,Vibrio parahaemolyticus,NoInf
1.102.O.,Vibrio sp. 10N.1,NoInf
1.102.O.,Vibrio sp. 10N.2,NoInf
1.102.O.,Vibrio sp. 10N.3,NoInf
1.102.O.,Vibrio sp. 10N.4,NoInf
1.102.O.,Vibrio sp. 10N.5,NoInf
1.102.O.,Vibrio sp. F12,Inf
1.102.O.,Vibrio sp. F13,NoInf
1.102.O.,Vibrio splendidus,Inf
1.102.O.,Vibrio tasmaniensis,NoInf
1.102.O.,Vibrio vulnificus,NoInf
1.103.O.,Aliivibrio fischeri,NoInf
1.103.O.,Enterovibrio norvegicus,NoInf
1.103.O.,Shewanella sp. 10N.6,NoInf
1.103.O.,Shewanella sp. 10N.7,NoInf
1.103.O.,Vibrio alginolyticus,NoInf
1.103.O.,Vibrio anguillarum,NoInf
1.103.O.,Vibrio breoganii,NoInf
1.103.O.,Vibrio cyclitrophicus,NoInf
1.103.O.,Vibrio jasicida,NoInf
1.103.O.,Vibrio kanaloae,NoInf
1.103.O.,Vibrio lentus,NoInf
1.103.O.,Vibrio parahaemolyticus,NoInf
1.103.O.,Vibrio sp. 10N.1,NoInf
1.103.O.,Vibrio sp. 10N.2,NoInf
1.103.O.,Vibrio sp. 10N.3,NoInf
1.103.O.,Vibrio sp. 10N.4,NoInf
1.103.O.,Vibrio sp. 10N.5,NoInf
1.103.O.,Vibrio sp. F12,NoInf
1.103.O.,Vibrio sp. F13,NoInf
1.103.O.,Vibrio splendidus,Inf
1.103.O.,Vibrio tasmaniensis,NoInf
1.103.O.,Vibrio vulnificus,NoInf
1.104.O.,Aliivibrio fischeri,NoInf
1.104.O.,Enterovibrio norvegicus,NoInf
1.104.O.,Shewanella sp. 10N.6,NoInf
1.104.O.,Shewanella sp. 10N.7,NoInf
1.104.O.,Vibrio alginolyticus,NoInf
1.104.O.,Vibrio anguillarum,NoInf
1.104.O.,Vibrio breoganii,NoInf
1.104.O.,Vibrio cyclitrophicus,NoInf
1.104.O.,Vibrio jasicida,NoInf
1.104.O.,Vibrio kanaloae,NoInf
1.104.O.,Vibrio lentus,Inf
1.104.O.,Vibrio parahaemolyticus,NoInf
1.104.O.,Vibrio sp. 10N.1,NoInf
1.104.O.,Vibrio sp. 10N.2,NoInf
1.104.O.,Vibrio sp. 10N.3,NoInf
1.104.O.,Vibrio sp. 10N.4,NoInf
1.104.O.,Vibrio sp. 10N.5,NoInf
1.104.O.,Vibrio sp. F12,NoInf
1.104.O.,Vibrio sp. F13,NoInf
1.104.O.,Vibrio splendidus,NoInf
1.104.O.,Vibrio tasmaniensis,NoInf
1.104.O.,Vibrio vulnificus,NoInf
1.105.O.,Aliivibrio fischeri,NoInf
1.105.O.,Enterovibrio norvegicus,NoInf
1.105.O.,Shewanella sp. 10N.6,NoInf
1.105.O.,Shewanella sp. 10N.7,NoInf
1.105.O.,Vibrio alginolyticus,NoInf
1.105.O.,Vibrio anguillarum,NoInf
1.105.O.,Vibrio breoganii,NoInf
1.105.O.,Vibrio cyclitrophicus,NoInf
1.105.O.,Vibrio jasicida,NoInf
1.105.O.,Vibrio kanaloae,NoInf
1.105.O.,Vibrio lentus,NoInf
1.105.O.,Vibrio parahaemolyticus,NoInf
1.105.O.,Vibrio sp. 10N.1,NoInf
1.105.O.,Vibrio sp. 10N.2,NoInf
1.105.O.,Vibrio sp. 10N.3,NoInf
1.105.O.,Vibrio sp. 10N.4,NoInf
1.105.O.,Vibrio sp. 10N.5,NoInf
1.105.O.,Vibrio sp. F12,NoInf
1.105.O.,Vibrio sp. F13,NoInf
1.105.O.,Vibrio splendidus,NoInf
1.105.O.,Vibrio tasmaniensis,NoInf
1.105.O.,Vibrio vulnificus,NoInf
1.106.O.,Aliivibrio fischeri,NoInf
1.106.O.,Enterovibrio norvegicus,NoInf
1.106.O.,Shewanella sp. 10N.6,NoInf
1.106.O.,Shewanella sp. 10N.7,NoInf
1.106.O.,Vibrio alginolyticus,NoInf
1.106.O.,Vibrio anguillarum,NoInf
1.106.O.,Vibrio breoganii,NoInf
1.106.O.,Vibrio cyclitrophicus,NoInf
1.106.O.,Vibrio jasicida,NoInf
1.106.O.,Vibrio kanaloae,NoInf
1.106.O.,Vibrio lentus,NoInf
1.106.O.,Vibrio parahaemolyticus,NoInf
1.106.O.,Vibrio sp. 10N.1,NoInf
1.106.O.,Vibrio sp. 10N.2,NoInf
1.106.O.,Vibrio sp. 10N.3,NoInf
1.106.O.,Vibrio sp. 10N.4,NoInf
1.106.O.,Vibrio sp. 10N.5,NoInf
1.106.O.,Vibrio sp. F12,NoInf
1.106.O.,Vibrio sp. F13,NoInf
1.106.O.,Vibrio splendidus,NoInf
1.106.O.,Vibrio tasmaniensis,NoInf
1.106.O.,Vibrio vulnificus,NoInf
1.107.B.,Aliivibrio fischeri,NoInf
1.107.B.,Enterovibrio norvegicus,NoInf
1.107.B.,Shewanella sp. 10N.6,NoInf
1.107.B.,Shewanella sp. 10N.7,NoInf
1.107.B.,Vibrio alginolyticus,NoInf
1.107.B.,Vibrio anguillarum,NoInf
1.107.B.,Vibrio breoganii,NoInf
1.107.B.,Vibrio cyclitrophicus,Inf
1.107.B.,Vibrio jasicida,NoInf
1.107.B.,Vibrio kanaloae,NoInf
1.107.B.,Vibrio lentus,Inf
1.107.B.,Vibrio parahaemolyticus,NoInf
1.107.B.,Vibrio sp. 10N.1,NoInf
1.107.B.,Vibrio sp. 10N.2,NoInf
1.107.B.,Vibrio sp. 10N.3,NoInf
1.107.B.,Vibrio sp. 10N.4,NoInf
1.107.B.,Vibrio sp. 10N.5,NoInf
1.107.B.,Vibrio sp. F12,Inf
1.107.B.,Vibrio sp. F13,NoInf
1.107.B.,Vibrio splendidus,Inf
1.107.B.,Vibrio tasmaniensis,NoInf
1.107.B.,Vibrio vulnificus,NoInf
1.108.O.,Aliivibrio fischeri,NoInf
1.108.O.,Enterovibrio norvegicus,NoInf
1.108.O.,Shewanella sp. 10N.6,NoInf
1.108.O.,Shewanella sp. 10N.7,NoInf
1.108.O.,Vibrio alginolyticus,NoInf
1.108.O.,Vibrio anguillarum,NoInf
1.108.O.,Vibrio breoganii,Inf
1.108.O.,Vibrio cyclitrophicus,NoInf
1.108.O.,Vibrio jasicida,NoInf
1.108.O.,Vibrio kanaloae,NoInf
1.108.O.,Vibrio lentus,NoInf
1.108.O.,Vibrio parahaemolyticus,NoInf
1.108.O.,Vibrio sp. 10N.1,NoInf
