uniqPhages,uniqSpecies,Infectivity
1.009.O.,Vibrio alginolyticus,NoInf
1.009.O.,Vibrio anguillarum,NoInf
1.009.O.,Vibrio breoganii,NoInf
1.009.O.,Vibrio cyclitrophicus,NoInf
1.009.O.,Vibrio jasicida,NoInf
1.009.O.,Vibrio kanaloae,NoInf
1.009.O.,Vibrio lentus,Inf
1.009.O.,Vibrio parahaemolyticus,NoInf
1.009.O.,Vibrio sp. 10N.1,NoInf
1.009.O.,Vibrio sp. 10N.2,NoInf
1.009.O.,Vibrio sp. 10N.3,NoInf
1.009.O.,Vibrio sp. 10N.4,NoInf
1.009.O.,Vibrio sp. 10N.5,NoInf
1.009.O.,Vibrio sp. F12,NoInf
1.009.O.,Vibrio sp. F13,NoInf
1.009.O.,Vibrio splendidus,NoInf
1.009.O.,Vibrio tasmaniensis,NoInf
1.009.O.,Vibrio vulnificus,NoInf
1.011.O.,Aliivibrio fischeri,NoInf
1.011.O.,Enterovibrio norvegicus,Inf
1.011.O.,Shewanella sp. 10N.6,NoInf
1.011.O.,Shewanella sp. 10N.7,NoInf
1.011.O.,Vibrio alginolyticus,NoInf
1.011.O.,Vibrio anguillarum,NoInf
1.011.O.,Vibrio breoganii,Inf
1.011.O.,Vibrio cyclitrophicus,Inf
1.011.O.,Vibrio jasicida,NoInf
1.011.O.,Vibrio kanaloae,NoInf
1.011.O.,Vibrio lentus,Inf
1.011.O.,Vibrio parahaemolyticus,NoInf
1.011.O.,Vibrio sp. 10N.1,NoInf
1.011.O.,Vibrio sp. 10N.2,NoInf
1.011.O.,Vibrio sp. 10N.3,NoInf
1.011.O.,Vibrio sp. 10N.4,NoInf
1.011.O.,Vibrio sp. 10N.5,NoInf
1.011.O.,Vibrio sp. F12,Inf
1.011.O.,Vibrio sp. F13,NoInf
1.011.O.,Vibrio splendidus,Inf
1.011.O.,Vibrio tasmaniensis,NoInf
1.011.O.,Vibrio vulnificus,NoInf
1.012.O.,Aliivibrio fischeri,NoInf
1.012.O.,Enterovibrio norvegicus,NoInf
1.012.O.,Shewanella sp. 10N.6,NoInf
1.012.O.,Shewanella sp. 10N.7,NoInf
1.012.O.,Vibrio alginolyticus,NoInf
1.012.O.,Vibrio anguillarum,NoInf
1.012.O.,Vibrio breoganii,Inf
1.012.O.,Vibrio cyclitrophicus,NoInf
1.012.O.,Vibrio jasicida,NoInf
1.012.O.,Vibrio kanaloae,NoInf
1.012.O.,Vibrio lentus,Inf
1.012.O.,Vibrio parahaemolyticus,NoInf
1.012.O.,Vibrio sp. 10N.1,NoInf
1.012.O.,Vibrio sp. 10N.2,NoInf
1.012.O.,Vibrio sp. 10N.3,NoInf
1.012.O.,Vibrio sp. 10N.4,NoInf
1.012.O.,Vibrio sp. 10N.5,NoInf
1.012.O.,Vibrio sp. F12,NoInf
1.012.O.,Vibrio sp. F13,NoInf
1.012.O.,Vibrio splendidus,NoInf
1.012.O.,Vibrio tasmaniensis,NoInf
1.012.O.,Vibrio vulnificus,NoInf
1.013.O.,Aliivibrio fischeri,NoInf
1.013.O.,Enterovibrio norvegicus,NoInf
1.013.O.,Shewanella sp. 10N.6,NoInf
1.013.O.,Shewanella sp. 10N.7,NoInf
1.013.O.,Vibrio alginolyticus,NoInf
1.013.O.,Vibrio anguillarum,NoInf
1.013.O.,Vibrio breoganii,NoInf
1.013.O.,Vibrio cyclitrophicus,Inf
1.013.O.,Vibrio jasicida,NoInf
1.013.O.,Vibrio kanaloae,NoInf
1.013.O.,Vibrio lentus,NoInf
1.013.O.,Vibrio parahaemolyticus,NoInf
1.013.O.,Vibrio sp. 10N.1,NoInf
1.013.O.,Vibrio sp. 10N.2,NoInf
1.013.O.,Vibrio sp. 10N.3,NoInf
1.013.O.,Vibrio sp. 10N.4,NoInf
1.013.O.,Vibrio sp. 10N.5,NoInf
1.013.O.,Vibrio sp. F12,NoInf
1.013.O.,Vibrio sp. F13,NoInf
1.013.O.,Vibrio splendidus,NoInf
1.013.O.,Vibrio tasmaniensis,NoInf
1.013.O.,Vibrio vulnificus,NoInf
1.015.O.,Aliivibrio fischeri,NoInf
1.015.O.,Enterovibrio norvegicus,NoInf
1.015.O.,Shewanella sp. 10N.6,NoInf
1.015.O.,Shewanella sp. 10N.7,NoInf
1.015.O.,Vibrio alginolyticus,NoInf
1.015.O.,Vibrio anguillarum,NoInf
1.015.O.,Vibrio breoganii,Inf
1.015.O.,Vibrio cyclitrophicus,NoInf
1.015.O.,Vibrio jasicida,NoInf
1.015.O.,Vibrio kanaloae,NoInf
1.015.O.,Vibrio lentus,NoInf
1.015.O.,Vibrio parahaemolyticus,NoInf
1.015.O.,Vibrio sp. 10N.1,NoInf
1.015.O.,Vibrio sp. 10N.2,NoInf
