	host	virus	Infection
155	S. capitis	PG-2021_28	0
156	S. capitis	PG-2021_27	0
157	S. capitis	PG-2021_46	0
158	S. capitis	PG-2021_33	0
159	S. capitis	PG-2021_31	0
160	S. capitis	PG-2021_32	0
161	S. capitis	PG-2021_76	0
162	S. capitis	PG-2021_42	0
163	S. capitis	PG-2021_12	0
164	S. capitis	PG-2021_14	0
165	S. capitis	PG-2021_23	0
166	S. capitis	PG-2021_24	0
167	S. capitis	PG-2021_40	0
168	S. capitis	PG-2021_39	0
169	S. capitis	PG-2021_41	0
170	S. capitis	PG-2021_26	0
171	S. capitis	PG-2021_11	0
172	S. capitis	PG-2021_13	0
173	S. capitis	PG-2021_43	0
174	S. capitis	PG-2021_22	0
175	S. capitis	PG-2021_4	0
176	S. capitis	PG-2021_68	0
177	S. capitis	PG-2021_52	0
178	S. capitis	PG-2021_67	0
179	S. capitis	PG-2021_6	0
180	S. capitis	PG-2021_90	0
181	S. capitis	PG-2021_94	0
182	S. capitis	PG-2021_93	0
183	S. capitis	PG-2021_89	0
184	S. chromogenes	PG-2021_9	1
185	S. chromogenes	PG-2021_38	1
186	S. chromogenes	PG-2021_16	1
187	S. chromogenes	PG-2021_84	1
188	S. chromogenes	PG-2021_15	1
189	S. chromogenes	PG-2021_45	1
190	S. chromogenes	PG-2021_17	1
191	S. chromogenes	PG-2021_10	1
192	S. chromogenes	PG-2021_86	1
193	S. chromogenes	PG-2021_85	1
194	S. chromogenes	PG-2021_48	1
195	S. chromogenes	PG-2021_2	1
196	S. chromogenes	PG-2021_29	1
197	S. chromogenes	PG-2021_87	1
198	S. chromogenes	PG-2021_8	1
199	S. chromogenes	PG-2021_64	1
200	S. chromogenes	PG-2021_47	1
201	S. chromogenes	PG-2021_34	1
202	S. chromogenes	PG-2021_20	1
203	S. chromogenes	PG-2021_49	1
204	S. chromogenes	PG-2021_18	1
205	S. chromogenes	PG-2021_21	1
206	S. chromogenes	PG-2021_30	1
207	S. chromogenes	PG-2021_35	0
208	S. chromogenes	PG-2021_36	0
209	S. chromogenes	PG-2021_69	0
210	S. chromogenes	PG-2021_58	0
211	S. chromogenes	PG-2021_57	0
212	S. chromogenes	PG-2021_65	0
213	S. chromogenes	PG-2021_81	0
214	S. chromogenes	PG-2021_83	0
215	S. chromogenes	PG-2021_66	0
216	S. chromogenes	PG-2021_56	0
217	S. chromogenes	PG-2021_71	0
218	S. chromogenes	PG-2021_1	0
219	S. chromogenes	PG-2021_62	0
220	S. chromogenes	PG-2021_75	0
221	S. chromogenes	PG-2021_61	0
222	S. chromogenes	PG-2021_79	0
223	S. chromogenes	PG-2021_60	0
224	S. chromogenes	PG-2021_5	0
225	S. chromogenes	PG-2021_74	0
226	S. chromogenes	PG-2021_88	0
227	S. chromogenes	PG-2021_82	0
228	S. chromogenes	PG-2021_44	0
229	S. chromogenes	PG-2021_80	0
230	S. chromogenes	PG-2021_54	0
231	S. chromogenes	PG-2021_63	0
232	S. chromogenes	PG-2021_73	0
233	S. chromogenes	PG-2021_72	0
234	S. chromogenes	PG-2021_7	1
235	S. chromogenes	PG-2021_25	0
236	S. chromogenes	PG-2021_19	0
237	S. chromogenes	PG-2021_78	0
238	S. chromogenes	PG-2021_3	0
239	S. chromogenes	PG-2021_77	0
240	S. chromogenes	PG-2021_37	0
241	S. chromogenes	PG-2021_53	0
242	S. chromogenes	PG-2021_70	0
243	S. chromogenes	PG-2021_55	0
244	S. chromogenes	PG-2021_50	0
245	S. chromogenes	PG-2021_51	0
246	S. chromogenes	PG-2021_59	0
247	S. chromogenes	PG-2021_28	0
248	S. chromogenes	PG-2021_27	0
249	S. chromogenes	PG-2021_46	0
250	S. chromogenes	PG-2021_33	0
251	S. chromogenes	PG-2021_31	0
252	S. chromogenes	PG-2021_32	0
253	S. chromogenes	PG-2021_76	0
254	S. chromogenes	PG-2021_42	1
255	S. chromogenes	PG-2021_12	1
256	S. chromogenes	PG-2021_14	1
257	S. chromogenes	PG-2021_23	1
258	S. chromogenes	PG-2021_24	1
259	S. chromogenes	PG-2021_40	1
260	S. chromogenes	PG-2021_39	1
261	S. chromogenes	PG-2021_41	1
262	S. chromogenes	PG-2021_26	1
263	S. chromogenes	PG-2021_11	0
264	S. chromogenes	PG-2021_13	0
265	S. chromogenes	PG-2021_43	0
266	S. chromogenes	PG-2021_22	0
267	S. chromogenes	PG-2021_4	0
268	S. chromogenes	PG-2021_68	0
269	S. chromogenes	PG-2021_52	0
270	S. chromogenes	PG-2021_67	0
271	S. chromogenes	PG-2021_6	0
272	S. chromogenes	PG-2021_90	0
273	S. chromogenes	PG-2021_94	0
274	S. chromogenes	PG-2021_93	0
275	S. chromogenes	PG-2021_89	0
276	S. cohnii	PG-2021_9	1
277	S. cohnii	PG-2021_38	0
278	S. cohnii	PG-2021_16	1
279	S. cohnii	PG-2021_84	1
280	S. cohnii	PG-2021_15	0
281	S. cohnii	PG-2021_45	0
282	S. cohnii	PG-2021_17	1
283	S. cohnii	PG-2021_10	1
284	S. cohnii	PG-2021_86	1
285	S. cohnii	PG-2021_85	1
286	S. cohnii	PG-2021_48	1
287	S. cohnii	PG-2021_2	0
288	S. cohnii	PG-2021_29	0
289	S. cohnii	PG-2021_87	1
290	S. cohnii	PG-2021_8	0
291	S. cohnii	PG-2021_64	0
292	S. cohnii	PG-2021_47	1
293	S. cohnii	PG-2021_34	0
294	S. cohnii	PG-2021_20	0
295	S. cohnii	PG-2021_49	1
296	S. cohnii	PG-2021_18	0
297	S. cohnii	PG-2021_21	0
298	S. cohnii	PG-2021_30	0
299	S. cohnii	PG-2021_35	1
300	S. cohnii	PG-2021_36	1
301	S. cohnii	PG-2021_69	0
302	S. cohnii	PG-2021_58	0
303	S. cohnii	PG-2021_57	0
304	S. cohnii	PG-2021_65	0
305	S. cohnii	PG-2021_81	0
306	S. cohnii	PG-2021_83	0
307	S. cohnii	PG-2021_66	0
308	S. cohnii	PG-2021_56	0
309	S. cohnii	PG-2021_71	0
310	S. cohnii	PG-2021_1	0
311	S. cohnii	PG-2021_62	0
312	S. cohnii	PG-2021_75	0
313	S. cohnii	PG-2021_61	0
314	S. cohnii	PG-2021_79	0
315	S. cohnii	PG-2021_60	0
316	S. cohnii	PG-2021_5	0
317	S. cohnii	PG-2021_74	0
318	S. cohnii	PG-2021_88	0
319	S. cohnii	PG-2021_82	0
320	S. cohnii	PG-2021_44	0
321	S. cohnii	PG-2021_80	0
322	S. cohnii	PG-2021_54	0
323	S. cohnii	PG-2021_63	1
324	S. cohnii	PG-2021_73	0
325	S. cohnii	PG-2021_72	0
326	S. cohnii	PG-2021_7	0
327	S. cohnii	PG-2021_25	1
328	S. cohnii	PG-2021_19	1
329	S. cohnii	PG-2021_78	1
330	S. cohnii	PG-2021_3	0
331	S. cohnii	PG-2021_77	0
332	S. cohnii	PG-2021_37	0
333	S. cohnii	PG-2021_53	0
334	S. cohnii	PG-2021_70	0
335	S. cohnii	PG-2021_55	0
336	S. cohnii	PG-2021_50	0
337	S. cohnii	PG-2021_51	0
338	S. cohnii	PG-2021_59	1
339	S. cohnii	PG-2021_28	0
340	S. cohnii	PG-2021_27	0
341	S. cohnii	PG-2021_46	0
342	S. cohnii	PG-2021_33	0
343	S. cohnii	PG-2021_31	0
344	S. cohnii	PG-2021_32	0
345	S. cohnii	PG-2021_76	0
346	S. cohnii	PG-2021_42	1
347	S. cohnii	PG-2021_12	1
348	S. cohnii	PG-2021_14	1
349	S. cohnii	PG-2021_23	1
350	S. cohnii	PG-2021_24	1
351	S. cohnii	PG-2021_40	0
352	S. cohnii	PG-2021_39	0
353	S. cohnii	PG-2021_41	1
354	S. cohnii	PG-2021_26	1
355	S. cohnii	PG-2021_11	1
356	S. cohnii	PG-2021_13	1
357	S. cohnii	PG-2021_43	1
358	S. cohnii	PG-2021_22	1
359	S. cohnii	PG-2021_4	0
360	S. cohnii	PG-2021_68	0
361	S. cohnii	PG-2021_52	0
362	S. cohnii	PG-2021_67	0
363	S. cohnii	PG-2021_6	0
364	S. cohnii	PG-2021_90	0
365	S. cohnii	PG-2021_94	0
366	S. cohnii	PG-2021_93	0
367	S. cohnii	PG-2021_89	0
368	S. epidermidis	PG-2021_9	1
369	S. epidermidis	PG-2021_38	1
370	S. epidermidis	PG-2021_16	1
371	S. epidermidis	PG-2021_84	1
372	S. epidermidis	PG-2021_15	1
373	S. epidermidis	PG-2021_45	1
374	S. epidermidis	PG-2021_17	1
375	S. epidermidis	PG-2021_10	1
376	S. epidermidis	PG-2021_86	1
377	S. epidermidis	PG-2021_85	1
378	S. epidermidis	PG-2021_48	1
379	S. epidermidis	PG-2021_2	1
