hostname,phagename,infection
Acinetobacter_baumannii,NC_029106,NoInf
Citrobacter_freundii,NC_029106,NoInf
Enterobacter_aerogenes,NC_029106,NoInf
Enterobacter_cloacae,NC_029106,NoInf
Escherichia_coli,NC_029106,NoInf
Klebsiella_pneumoniae,NC_029106,NoInf
Pseudomonas_aeruginosa,NC_029106,NoInf
Raoultella_ornithinolytica,NC_029106,NoInf
Serratia_marcescens,NC_029106,NoInf
Shigella_sonnei,NC_029106,NoInf
Vibrio_parahaemolyticus,NC_029106,NoInf
Bacillus_anthracis,NC_029121,NoInf
Bacillus_cereus,NC_029121,NoInf
Bacillus_pumilus,NC_029121,Inf
Bacillus_subtilis,NC_029121,NoInf
Bacillus_thuringiensis,NC_029121,NoInf
Pseudomonas_syringae,NC_030934,Inf
Bacillus_subtilis,NC_031008,NoInf
Escherichia_coli,NC_031008,NoInf
Staphylococcus_aureus,NC_031008,Inf
Staphylococcus_epidermidis,NC_031008,NoInf
Streptococcus_suis,NC_031008,NoInf
Streptococcus_zooepidemicus,NC_031008,NoInf
Bacillus_cereus,NC_031053,NoInf
Bacillus_licheniformis,NC_031053,NoInf
Bacteroides_fragilis,NC_031053,NoInf
Clostridium_difficile,NC_031053,NoInf
Clostridium_perfringens,NC_031053,NoInf
Cronobacter_sakazakii,NC_031053,Inf
Enterococcus_faecalis,NC_031053,NoInf
Escherichia_coli,NC_031053,NoInf
Klebsiella_oxytoca,NC_031053,Inf
Klebsiella_pneumoniae,NC_031053,Inf
Listeria_monocytogenes,NC_031053,NoInf
Pseudomonas_aeruginosa,NC_031053,NoInf
Salmonella_enterica,NC_031053,NoInf
Shigella_boydii,NC_031053,NoInf
Shigella_flexneri,NC_031053,NoInf
Staphylococcus_aureus,NC_031053,NoInf
Staphylococcus_epidermidis,NC_031053,NoInf
Yersinia_enterocolitica,NC_031053,NoInf
Bacillus_cereus,NC_031095,NoInf
Bacillus_licheniformis,NC_031095,NoInf
Bacteroides_fragilis,NC_031095,NoInf
Clostridium_difficile,NC_031095,NoInf
Clostridium_perfringens,NC_031095,NoInf
Cronobacter_sakazakii,NC_031095,Inf
Enterococcus_faecalis,NC_031095,NoInf
Escherichia_coli,NC_031095,NoInf
Klebsiella_oxytoca,NC_031095,Inf
Klebsiella_pneumoniae,NC_031095,Inf
Listeria_monocytogenes,NC_031095,NoInf
Pseudomonas_aeruginosa,NC_031095,NoInf
Salmonella_enterica,NC_031095,NoInf
Shigella_boydii,NC_031095,NoInf
Shigella_flexneri,NC_031095,NoInf
Staphylococcus_aureus,NC_031095,NoInf
Staphylococcus_epidermidis,NC_031095,NoInf
Yersinia_enterocolitica,NC_031095,NoInf
Brucella_abortus,NC_031264,Inf
Brucella_canis,NC_031264,Inf
Brucella_ceti,NC_031264,NoInf
Brucella_inopinata,NC_031264,NoInf
Brucella_melitensis,NC_031264,Inf
Brucella_microti,NC_031264,Inf
Brucella_neotomae,NC_031264,Inf
Brucella_ovis,NC_031264,NoInf
Brucella_pinnipedialis,NC_031264,Inf
Brucella_suis,NC_031264,Inf
Brucella_vulpis,NC_031264,Inf
Flavobacterium_psychrophilum,NC_031938,Inf
Rhizobium_etli,NC_034248,Inf
Mycobacterium_smegmatis,NC_043767,Inf
Enterobacter_aerogenes,NC_043469,Inf
Xanthomonas_oryzae,NC_043028,Inf
Bacillus_subtilis,NC_043027,Inf
Mycobacterium_smegmatis,NC_031041,Inf
Mycobacterium_smegmatis,NC_028941,Inf
Mycobacterium_smegmatis,NC_028874,Inf
Mycobacterium_smegmatis,NC_028828,Inf
Mycobacterium_smegmatis,NC_028784,Inf
Mycobacterium_smegmatis,NC_024368,Inf
Mycobacterium_smegmatis,NC_024143,Inf
Mycobacterium_smegmatis,NC_024136,Inf
Mycobacterium_smegmatis,NC_023862,Inf
Mycobacterium_smegmatis,NC_023716,Inf
Mycobacterium_smegmatis,NC_023702,Inf
Mycobacterium_smegmatis,NC_022975,Inf
Lactococcus_lactis,NC_009817,Inf
Mycobacterium_smegmatis,NC_023748,Inf
Mycobacterium_smegmatis,NC_023710,Inf
Mycobacterium_smegmatis,NC_011267,Inf
Escherichia_coli,NC_042564,Inf
Enterobacter_cancerogenus,NC_019524,Inf
Pseudomonas_aeruginosa,NC_042073,Inf
Pseudomonas_aeruginosa,NC_042072,Inf
Pseudomonas_aeruginosa,NC_042071,Inf
Bacillus_subtilis,NC_031245,Inf
Escherichia_coli,NC_029091,Inf
Propionibacterium_acnes,NC_028967,Inf
Paenibacillus_larvae,NC_028930,Inf
Escherichia_coli,NC_028863,Inf
Escherichia_coli,NC_028822,Inf
Bacillus_cereus,NC_028789,Inf
Salmonella_enterica,NC_027360,Inf
Pseudomonas_aeruginosa,NC_024381,Inf
Staphylococcus_aureus,NC_023550,Inf
Clostridium_perfringens,NC_017980,Inf
Shigella_boydii,NC_013693,Inf
Delftia_acidovorans,NC_013697,Inf
Pseudomonas_syringae,NC_012091,Inf
Enterococcus_faecalis,NC_012419,Inf
Pseudomonas_syringae,NC_012093,Inf
Pseudomonas_syringae,NC_012092,Inf
Pseudomonas_aeruginosa,NC_011613,Inf
Bacillus_subtilis,NC_011421,Inf
Staphylococcus_aureus,NC_009875,Inf
Xanthomonas_oryzae,NC_009543,Inf
Chlamydophila_abortus,NC_007461,Inf
Burkholderia_pseudomallei,NC_005284,Inf
Pseudomonas_aeruginosa,NC_005178,Inf
Corynebacterium_glutamicum,NC_042355,Inf
Corynebacterium_glutamicum,NC_042354,Inf
Salinibacter_ruber,NC_042352,Inf
Salinibacter_ruber,NC_042351,Inf
Salinibacter_ruber,NC_042350,Inf
Salinibacter_ruber,NC_042349,Inf
Salinibacter_ruber,NC_042348,Inf
Xylella_fastidiosa,NC_042345,Inf
Xylella_fastidiosa,NC_042344,Inf
Pseudomonas_aeruginosa,NC_042343,Inf
Pseudomonas_aeruginosa,NC_042342,Inf
Mycobacterium_smegmatis,NC_042341,Inf
Mycobacterium_smegmatis,NC_042340,Inf
Mycobacterium_smegmatis,NC_042339,Inf
Mycobacterium_smegmatis,NC_042338,Inf
Mycobacterium_smegmatis,NC_042337,Inf
Mycobacterium_smegmatis,NC_042336,Inf
Mycobacterium_smegmatis,NC_042335,Inf
Mycobacterium_smegmatis,NC_042334,Inf
Mycobacterium_smegmatis,NC_042333,Inf
Mycobacterium_smegmatis,NC_042332,Inf
Mycobacterium_smegmatis,NC_042331,Inf
Mycobacterium_smegmatis,NC_042330,Inf
Mycobacterium_smegmatis,NC_042329,Inf
Mycobacterium_smegmatis,NC_042328,Inf
Mycobacterium_smegmatis,NC_042327,Inf
Mycobacterium_smegmatis,NC_042326,Inf
Mycobacterium_smegmatis,NC_042325,Inf
Mycobacterium_smegmatis,NC_042324,Inf
Mycobacterium_smegmatis,NC_042323,Inf
Mycobacterium_smegmatis,NC_042322,Inf
Mycobacterium_smegmatis,NC_042321,Inf
Mycobacterium_smegmatis,NC_042320,Inf
Mycobacterium_smegmatis,NC_042319,Inf
Mycobacterium_smegmatis,NC_042318,Inf
Mycobacterium_smegmatis,NC_042317,Inf
Mycobacterium_smegmatis,NC_042316,Inf
Mycobacterium_smegmatis,NC_042315,Inf
Mycobacterium_smegmatis,NC_042314,Inf
Mycobacterium_smegmatis,NC_042313,Inf
Mycobacterium_smegmatis,NC_042312,Inf
Mycobacterium_smegmatis,NC_042311,Inf
Mycobacterium_smegmatis,NC_042310,Inf
Mycobacterium_smegmatis,NC_042309,Inf
Mycobacterium_smegmatis,NC_042308,Inf
Mycobacterium_smegmatis,NC_023745,Inf
Lactococcus_lactis,NC_017702,Inf
Lactococcus_lactis,NC_017698,Inf
Lactococcus_lactis,NC_017696,Inf
Lactococcus_lactis,NC_017695,Inf
Mycobacterium_smegmatis,NC_028876,Inf
Gordonia_terrae,NC_031269,Inf
Mycobacterium_smegmatis,NC_031266,Inf
Mycobacterium_smegmatis,NC_031262,Inf
Mycobacterium_smegmatis,NC_031261,Inf
Mycobacterium_smegmatis,NC_031243,Inf
Gordonia_terrae,NC_031233,Inf
Gordonia_terrae,NC_031251,Inf
Gordonia_terrae,NC_031226,Inf
Mycobacterium_smegmatis,NC_031281,Inf
Gordonia_terrae,NC_031118,Inf
Gordonia_terrae,NC_031061,Inf
Gordonia_terrae,NC_030943,Inf
Mycobacterium_smegmatis,NC_028961,Inf
Mycobacterium_smegmatis,NC_028953,Inf
Mycobacterium_smegmatis,NC_028946,Inf
Mycobacterium_smegmatis,NC_028937,Inf
Mycobacterium_smegmatis,NC_028910,Inf
Mycobacterium_smegmatis,NC_028889,Inf
Mycobacterium_smegmatis,NC_028844,Inf
Mycobacterium_smegmatis,NC_028842,Inf
Mycobacterium_smegmatis,NC_028823,Inf
Mycobacterium_smegmatis,NC_028796,Inf
Mycobacterium_smegmatis,NC_028779,Inf
Mycobacterium_smegmatis,NC_028747,Inf
Mycobacterium_smegmatis,NC_028678,Inf
Mycobacterium_smegmatis,NC_028654,Inf
Mycobacterium_smegmatis,NC_026596,Inf
Mycobacterium_smegmatis,NC_026585,Inf
Mycobacterium_smegmatis,NC_026584,Inf
Mycobacterium_smegmatis,NC_025433,Inf
Mycobacterium_smegmatis,NC_023746,Inf
Mycobacterium_tuberculosis,NC_023744,Inf
Mycobacterium_smegmatis,NC_023738,Inf
Mycobacterium_smegmatis,NC_023730,Inf
Mycobacterium_smegmatis,NC_023729,Inf
Mycobacterium_smegmatis,NC_023728,Inf
Mycobacterium_smegmatis,NC_023712,Inf
Mycobacterium_smegmatis,NC_023699,Inf
Mycobacterium_smegmatis,NC_023692,Inf
Mycobacterium_smegmatis,NC_023690,Inf
Mycobacterium_smegmatis,NC_023552,Inf
Mycobacterium_smegmatis,NC_023580,Inf
Mycobacterium_smegmatis,NC_022068,Inf
Mycobacterium_smegmatis,NC_022067,Inf
Mycobacterium_smegmatis,NC_022066,Inf
Mycobacterium_smegmatis,NC_022057,Inf
Mycobacterium_smegmatis,NC_021302,Inf
Mycobacterium_smegmatis,NC_021301,Inf
Mycobacterium_smegmatis,NC_021061,Inf
Mycobacterium_smegmatis,NC_014901,Inf
Staphylococcus_epidermidis,NC_041928,Inf
Bacillus_subtilis,NC_041842,Inf
Bacillus_subtilis,NC_041841,Inf
Bacillus_subtilis,NC_041840,Inf
Bacillus_subtilis,NC_041839,Inf
Bacillus_subtilis,NC_041838,Inf
Bacillus_subtilis,NC_041837,Inf
Bacillus_subtilis,NC_041836,Inf
Bacillus_subtilis,NC_041835,Inf
Bacillus_subtilis,NC_030903,Inf
Gordonia_terrae,NC_030698,Inf
Mycobacterium_smegmatis,NC_028906,Inf
Bacillus_thuringiensis,NC_028887,Inf
Mycobacterium_smegmatis,NC_023695,Inf
Mycobacterium_smegmatis,NC_023577,Inf
Mycobacterium_smegmatis,NC_023572,Inf
Staphylococcus_aureus,NC_023573,Inf
Bacillus_subtilis,NC_022771,Inf
Bacillus_thuringiensis,NC_022769,Inf
Bacillus_thuringiensis,NC_022763,Inf
Bacillus_subtilis,NC_021856,Inf
Mycobacterium_smegmatis,NC_021306,Inf
Mycobacterium_smegmatis,NC_014459,Inf
Gordonia_terrae,NC_031267,Inf
Mycobacterium_smegmatis,NC_031124,Inf
Mycobacterium_smegmatis,NC_031102,Inf
Mycobacterium_smegmatis,NC_031035,Inf
Mycobacterium_smegmatis,NC_029093,Inf
Mycobacterium_smegmatis,NC_029079,Inf
Mycobacterium_smegmatis,NC_028979,Inf
Mycobacterium_smegmatis,NC_028978,Inf
Mycobacterium_smegmatis,NC_028947,Inf
Mycobacterium_smegmatis,NC_028936,Inf
Mycobacterium_smegmatis,NC_028922,Inf
Mycobacterium_smegmatis,NC_028878,Inf
Mycobacterium_smegmatis,NC_028861,Inf
Mycobacterium_smegmatis,NC_028846,Inf
Mycobacterium_smegmatis,NC_028843,Inf
Mycobacterium_smegmatis,NC_028832,Inf
Mycobacterium_smegmatis,NC_028813,Inf
Mycobacterium_smegmatis,NC_028798,Inf
Mycobacterium_smegmatis,NC_028792,Inf
Mycobacterium_smegmatis,NC_028791,Inf
Mycobacterium_smegmatis,NC_028785,Inf
Mycobacterium_smegmatis,NC_028778,Inf
Mycobacterium_smegmatis,NC_028759,Inf
Mycobacterium_smegmatis,NC_028751,Inf
Mycobacterium_smegmatis,NC_028687,Inf
Mycobacterium_smegmatis,NC_027365,Inf
Mycobacterium_smegmatis,NC_026604,Inf
Mycobacterium_smegmatis,NC_026603,Inf
Mycobacterium_smegmatis,NC_026598,Inf
Mycobacterium_smegmatis,NC_026593,Inf
Mycobacterium_smegmatis,NC_026591,Inf
Mycobacterium_smegmatis,NC_024366,Inf
Mycobacterium_smegmatis,NC_024147,Inf
Mycobacterium_smegmatis,NC_023747,Inf
Mycobacterium_smegmatis,NC_023732,Inf
Mycobacterium_smegmatis,NC_023724,Inf
Mycobacterium_smegmatis,NC_023721,Inf
Mycobacterium_smegmatis,NC_023705,Inf
Mycobacterium_smegmatis,NC_023689,Inf
Mycobacterium_smegmatis,NC_023498,Inf
Mycobacterium_smegmatis,NC_022988,Inf
Mycobacterium_smegmatis,NC_022981,Inf
Mycobacterium_smegmatis,NC_022976,Inf
Mycobacterium_smegmatis,NC_022969,Inf
Mycobacterium_smegmatis,NC_022085,Inf
Mycobacterium_smegmatis,NC_022065,Inf
Mycobacterium_smegmatis,NC_022060,Inf
Mycobacterium_smegmatis,NC_022059,Inf
Mycobacterium_smegmatis,NC_022055,Inf
Mycobacterium_smegmatis,NC_021538,Inf
Mycobacterium_smegmatis,NC_021311,Inf
Mycobacterium_smegmatis,NC_021309,Inf
Mycobacterium_smegmatis,NC_021305,Inf
Mycobacterium_smegmatis,NC_021299,Inf
Mycobacterium_smegmatis,NC_015584,Inf
Mycobacterium_smegmatis,NC_014461,Inf
Mycobacterium_smegmatis,NC_014458,Inf
Mycobacterium_smegmatis,NC_012788,Inf
Bacillus_subtilis,NC_042133,Inf
Bacillus_cereus,NC_027355,Inf
Enterococcus_faecalis,NC_027335,Inf
Staphylococcus_aureus,NC_025426,Inf
Bacillus_pumilus,NC_020081,Inf
Enterococcus_faecalis,NC_009904,Inf
Staphylococcus_aureus,NC_007021,Inf
Lactobacillus_plantarum,NC_006565,Inf
Bacillus_megaterium,NC_042140,Inf
Listeria_monocytogenes,NC_042048,Inf
Listeria_monocytogenes,NC_041862,Inf
Bacillus_cereus,NC_031056,Inf
Staphylococcus_aureus,NC_030933,Inf
Enterococcus_faecalis,NC_029026,Inf
Bacillus_thuringiensis,NC_028890,Inf
Bacillus_megaterium,NC_027374,Inf
Bacillus_megaterium,NC_027366,Inf
Listeria_monocytogenes,NC_025440,Inf
Staphylococcus_aureus,NC_025416,Inf
Bacillus_thuringiensis,NC_024792,Inf
Listeria_monocytogenes,NC_024787,Inf
Listeria_monocytogenes,NC_024383,Inf
Listeria_monocytogenes,NC_024359,Inf
Listeria_monocytogenes,NC_024364,Inf
Listeria_monocytogenes,NC_024360,Inf
Staphylococcus_aureus,NC_005880,Inf
Bacillus_thuringiensis,NC_024216,Inf
Bacillus_cereus,NC_024137,Inf
Staphylococcus_aureus,NC_023009,Inf
Bacillus_subtilis,NC_022761,Inf
Listeria_monocytogenes,NC_020871,Inf
Staphylococcus_aureus,NC_019726,Inf
Staphylococcus_aureus,NC_019511,Inf
Staphylococcus_aureus,NC_019448,Inf
Bacillus_cereus,NC_018860,Inf
Bacillus_cereus,NC_018857,Inf
Listeria_monocytogenes,NC_009811,Inf
Listeria_monocytogenes,NC_007610,Inf
Staphylococcus_aureus,NC_007066,Inf
Salmonella_enterica,NC_042064,Inf
Salmonella_enterica,NC_042063,Inf
Salmonella_enterica,NC_042062,Inf
Corynebacterium_vitaeruminis,NC_042139,Inf
Acinetobacter_baumannii,NC_042137,Inf
Vibrio_harveyi,NC_042136,Inf
Enterococcus_faecalis,NC_042134,Inf
Gordonia_terrae,NC_042132,Inf
Pectobacterium_atrosepticum,NC_042131,Inf
Escherichia_coli,NC_042130,Inf
Escherichia_coli,NC_042129,Inf
Escherichia_coli,NC_042128,Inf
Enterococcus_faecalis,NC_042127,Inf
Enterococcus_faecalis,NC_042126,Inf
Enterococcus_faecalis,NC_042125,Inf
Acinetobacter_baumannii,NC_042124,Inf
Gordonia_terrae,NC_042123,Inf
Enterobacter_cloacae,NC_042122,Inf
Pantoea_agglomerans,NC_042120,Inf
Microbacterium_foliorum,NC_042119,Inf
Microbacterium_foliorum,NC_042118,Inf
Microbacterium_foliorum,NC_042117,Inf
Pseudomonas_aeruginosa,NC_042115,Inf
Pseudomonas_aeruginosa,NC_042113,Inf
Campylobacter_jejuni,NC_042112,Inf
Microbacterium_foliorum,NC_042111,Inf
Microbacterium_foliorum,NC_042110,Inf
Microbacterium_foliorum,NC_042109,Inf
Gordonia_terrae,NC_042108,Inf
Pseudomonas_tolaasii,NC_042107,Inf
Streptomyces_lividans,NC_042106,Inf
Streptomyces_viridochromogenes,NC_042105,Inf
Enterococcus_faecalis,NC_042101,Inf
Vibrio_alginolyticus,NC_042100,Inf
Microbacterium_foliorum,NC_042099,Inf
Erwinia_amylovora,NC_042098,Inf
Salmonella_enterica,NC_042097,Inf
Salmonella_enterica,NC_042096,Inf
Vibrio_harveyi,NC_042095,Inf
Vibrio_harveyi,NC_042094,Inf
Klebsiella_pneumoniae,NC_042093,Inf
Pseudomonas_syringae,NC_042092,Inf
Pseudomonas_syringae,NC_042091,Inf
Proteus_mirabilis,NC_042090,Inf
Gordonia_terrae,NC_042089,Inf
Gordonia_terrae,NC_042088,Inf
Corynebacterium_vitaeruminis,NC_042087,Inf
Corynebacterium_vitaeruminis,NC_042086,Inf
Corynebacterium_vitaeruminis,NC_042085,Inf
Escherichia_coli,NC_042084,Inf
Gluconobacter_cerinus,NC_042083,Inf
Pseudomonas_aeruginosa,NC_042081,Inf
Shigella_flexneri,NC_042078,Inf
Shigella_flexneri,NC_042077,Inf
Shigella_boydii,NC_042076,Inf
Shigella_flexneri,NC_042075,Inf
Vibrio_cholerae,NC_042074,Inf
Citrobacter_freundii,NC_042067,Inf
Salmonella_enterica,NC_042066,Inf
Salmonella_enterica,NC_042065,Inf
Pseudomonas_aeruginosa,NC_042060,Inf
Escherichia_coli,NC_042057,Inf
Erwinia_amylovora,NC_042056,Inf
Mycobacterium_smegmatis,NC_042055,Inf
Pseudomonas_syringae,NC_042054,Inf
Streptomyces_griseus,NC_042052,Inf
Streptomyces_griseus,NC_042051,Inf
Mycobacterium_smegmatis,NC_042050,Inf
Rhodobacter_capsulatus,NC_042049,Inf
Serratia_rubidaea,NC_042047,Inf
Escherichia_coli,NC_042046,Inf
Gordonia_terrae,NC_042045,Inf
Salmonella_enterica,NC_042044,Inf
Escherichia_coli,NC_042043,Inf
Streptomyces_scabiei,NC_042042,Inf
Klebsiella_pneumoniae,NC_042041,Inf
Rhodococcus_erythropolis,NC_042040,Inf
Shigella_flexneri,NC_042039,Inf
Salmonella_enterica,NC_042038,Inf
Mycobacterium_smegmatis,NC_042036,Inf
Mycobacterium_smegmatis,NC_042035,Inf
Mycobacterium_smegmatis,NC_042034,Inf
Mycobacterium_smegmatis,NC_042033,Inf
Mycobacterium_smegmatis,NC_042032,Inf
Mycobacterium_smegmatis,NC_042031,Inf
Mycobacterium_smegmatis,NC_042030,Inf
Edwardsiella_ictaluri,NC_042029,Inf
Acinetobacter_baumannii,NC_042028,Inf
Mycobacterium_smegmatis,NC_042027,Inf
Salmonella_enterica,NC_042025,Inf
Lactococcus_lactis,NC_042024,Inf
Enterococcus_faecalis,NC_042023,Inf
Enterococcus_faecalis,NC_042022,Inf
Enterococcus_faecalis,NC_042021,Inf
Aeromonas_salmonicida,NC_042019,Inf
Erwinia_amylovora,NC_042018,Inf
Shigella_flexneri,NC_042017,Inf
Streptomyces_griseus,NC_042016,Inf
Agrobacterium_tumefaciens,NC_042013,Inf
Streptomyces_griseus,NC_042012,Inf
Streptomyces_lividans,NC_042011,Inf
Streptomyces_griseus,NC_042010,Inf
Streptomyces_griseus,NC_042009,Inf
Streptomyces_viridochromogenes,NC_042008,Inf
Acinetobacter_pittii,NC_042007,Inf
Acinetobacter_pittii,NC_042006,Inf
Acinetobacter_baumannii,NC_042005,Inf
Acinetobacter_baumannii,NC_042004,Inf
Acinetobacter_baumannii,NC_042003,Inf
Acinetobacter_baumannii,NC_041998,Inf
Acidovorax_citrulli,NC_041997,Inf
Shigella_sonnei,NC_041995,Inf
Pseudomonas_fluorescens,NC_041994,Inf
Mycobacterium_smegmatis,NC_041993,Inf
Salmonella_enteritidis,NC_041991,Inf
Escherichia_coli,NC_041990,Inf
Mycobacterium_smegmatis,NC_041989,Inf
Mycobacterium_smegmatis,NC_041988,Inf
Mycobacterium_smegmatis,NC_041987,Inf
Mycobacterium_smegmatis,NC_041986,Inf
Mycobacterium_smegmatis,NC_041985,Inf
Mycobacterium_smegmatis,NC_041984,Inf
Mycobacterium_smegmatis,NC_041983,Inf
Mycobacterium_smegmatis,NC_041982,Inf
Klebsiella_pneumoniae,NC_041981,Inf
Enterobacter_aerogenes,NC_041980,Inf
Escherichia_coli,NC_041979,Inf
Erwinia_amylovora,NC_041978,Inf
Citrobacter_freundii,NC_041977,Inf
Brevibacillus_laterosporus,NC_041976,Inf
Erwinia_amylovora,NC_041975,Inf
Erwinia_amylovora,NC_041974,Inf
Erwinia_amylovora,NC_041973,Inf
Erwinia_amylovora,NC_041972,Inf
Mycobacterium_smegmatis,NC_041971,Inf
Mycobacterium_smegmatis,NC_041970,Inf
Mycobacterium_smegmatis,NC_041969,Inf
Pseudomonas_aeruginosa,NC_041968,Inf
Acinetobacter_baumannii,NC_041967,Inf
Acinetobacter_baumannii,NC_041966,Inf
Mycobacterium_smegmatis,NC_041965,Inf
Rhodobacter_capsulatus,NC_041963,Inf
Enterococcus_faecalis,NC_041960,Inf
Enterococcus_faecalis,NC_041959,Inf
Roseobacter_denitrificans,NC_041958,Inf
Propionibacterium_acnes,NC_041957,Inf
Propionibacterium_acnes,NC_041956,Inf
Propionibacterium_acnes,NC_041955,Inf
Propionibacterium_acnes,NC_041954,Inf
Pseudomonas_aeruginosa,NC_041953,Inf
Gordonia_terrae,NC_041950,Inf
Escherichia_coli,NC_041937,Inf
Escherichia_coli,NC_041936,Inf
Escherichia_coli,NC_041935,Inf
Pseudomonas_aeruginosa,NC_041934,Inf
Sinorhizobium_meliloti,NC_041929,Inf
Escherichia_coli,NC_041926,Inf
Proteus_mirabilis,NC_041925,Inf
Acinetobacter_baumannii,NC_041924,Inf
Salmonella_enterica,NC_041922,Inf
Dinoroseobacter_shibae,NC_041921,Inf
Escherichia_coli,NC_041920,Inf
Escherichia_coli,NC_041919,Inf
Geobacillus_stearothermophilus,NC_041918,Inf
Serratia_marcescens,NC_041917,Inf
Acinetobacter_baumannii,NC_041915,Inf
Acinetobacter_baumannii,NC_041914,Inf
Ralstonia_solanacearum,NC_041911,Inf
Vibrio_vulnificus,NC_041910,Inf
Paenibacillus_larvae,NC_041909,Inf
Rhizobium_etli,NC_041908,Inf
Pseudomonas_aeruginosa,NC_041907,Inf
Escherichia_coli,NC_041906,Inf
Acinetobacter_baumannii,NC_041905,Inf
Pseudomonas_aeruginosa,NC_041904,Inf
Pseudomonas_aeruginosa,NC_041903,Inf
Pseudomonas_aeruginosa,NC_041902,Inf
Mycobacterium_smegmatis,NC_041901,Inf
Klebsiella_pneumoniae,NC_041900,Inf
Klebsiella_pneumoniae,NC_041899,Inf
Escherichia_coli,NC_041898,Inf
Escherichia_coli,NC_041897,Inf
Campylobacter_jejuni,NC_041896,Inf
Propionibacterium_freudenreichii,NC_041895,Inf
Propionibacterium_freudenreichii,NC_041894,Inf
Propionibacterium_freudenreichii,NC_041893,Inf
Propionibacterium_freudenreichii,NC_041892,Inf
Propionibacterium_freudenreichii,NC_041891,Inf
Propionibacterium_freudenreichii,NC_041890,Inf
Streptomyces_azureus,NC_041889,Inf
Mycobacterium_smegmatis,NC_041888,Inf
Rhodococcus_erythropolis,NC_041887,Inf
Gordonia_terrae,NC_041886,Inf
Acinetobacter_baumannii,NC_041884,Inf
Gordonia_terrae,NC_041883,Inf
Mycobacterium_smegmatis,NC_041882,Inf
Pseudomonas_putida,NC_041881,Inf
Pseudomonas_putida,NC_041880,Inf
Pectobacterium_carotovorum,NC_041878,Inf
Pseudomonas_aeruginosa,NC_041877,Inf
Escherichia_coli,NC_041874,Inf
Escherichia_coli,NC_041873,Inf
Flavobacterium_psychrophilum,NC_041872,Inf
Escherichia_coli,NC_041871,Inf
Pseudomonas_aeruginosa,NC_041870,Inf
Escherichia_coli,NC_041869,Inf
Paenibacillus_larvae,NC_041867,Inf
Pseudomonas_aeruginosa,NC_041865,Inf
Escherichia_coli,NC_041864,Inf
Escherichia_coli,NC_041863,Inf
Enterococcus_faecalis,NC_041861,Inf
Streptomyces_venezuelae,NC_041860,Inf
Flavobacterium_psychrophilum,NC_041859,Inf
Bacillus_pumilus,NC_041858,Inf
Acinetobacter_baumannii,NC_041857,Inf
Streptomyces_coelicolor,NC_041856,Inf
Mycobacterium_smegmatis,NC_041855,Inf
Pectobacterium_atrosepticum,NC_041854,Inf
Mycobacterium_smegmatis,NC_041853,Inf
Mycobacterium_smegmatis,NC_041852,Inf
Mycobacterium_smegmatis,NC_041850,Inf
Escherichia_coli,NC_041848,Inf
Mycobacterium_smegmatis,NC_041847,Inf
Mycobacterium_smegmatis,NC_041846,Inf
Flavobacterium_columnare,NC_041845,Inf
Mycobacterium_smegmatis,NC_041844,Inf
Erwinia_amylovora,NC_031107,Inf
Xanthomonas_arboricola,NC_030937,Inf
Xanthomonas_arboricola,NC_030928,Inf
Propionibacterium_acnes,NC_027392,Inf
Propionibacterium_acnes,NC_027380,Inf
Propionibacterium_acnes,NC_027376,Inf
Propionibacterium_acnes,NC_027347,Inf
Propionibacterium_acnes,NC_027405,Inf
Propionibacterium_acnes,NC_027403,Inf
Propionibacterium_acnes,NC_022339,Inf
Lactococcus_lactis,NC_013154,Inf
Lactococcus_lactis,NC_013153,Inf
Propionibacterium_acnes,NC_031119,Inf
Propionibacterium_acnes,NC_031084,Inf
Propionibacterium_acnes,NC_031005,Inf
Propionibacterium_acnes,NC_031003,Inf
Propionibacterium_acnes,NC_027630,Inf
Propionibacterium_acnes,NC_027629,Inf
Propionibacterium_acnes,NC_027628,Inf
Propionibacterium_acnes,NC_027627,Inf
Propionibacterium_acnes,NC_027626,Inf
Propionibacterium_acnes,NC_027625,Inf
Propionibacterium_acnes,NC_027624,Inf
Propionibacterium_acnes,NC_027623,Inf
Propionibacterium_acnes,NC_027622,Inf
Propionibacterium_acnes,NC_027621,Inf
Propionibacterium_acnes,NC_027620,Inf
Mycobacterium_smegmatis,NC_028968,Inf
Mycobacterium_smegmatis,NC_028942,Inf
Mycobacterium_smegmatis,NC_028934,Inf
Mycobacterium_smegmatis,NC_028907,Inf
Mycobacterium_smegmatis,NC_028803,Inf
Mycobacterium_smegmatis,NC_028801,Inf
Mycobacterium_smegmatis,NC_028742,Inf
Mycobacterium_smegmatis,NC_028691,Inf
Mycobacterium_smegmatis,NC_028690,Inf
Mycobacterium_smegmatis,NC_028689,Inf
Mycobacterium_smegmatis,NC_028682,Inf
Mycobacterium_smegmatis,NC_028681,Inf
Mycobacterium_smegmatis,NC_028674,Inf
Mycobacterium_smegmatis,NC_028658,Inf
Mycobacterium_smegmatis,NC_027985,Inf
Mycobacterium_smegmatis,NC_025438,Inf
Mycobacterium_smegmatis,NC_024363,Inf
Mycobacterium_smegmatis,NC_023742,Inf
Mycobacterium_smegmatis,NC_023741,Inf
Mycobacterium_smegmatis,NC_023740,Inf
Mycobacterium_smegmatis,NC_023727,Inf
Mycobacterium_smegmatis,NC_023711,Inf
