hostname,phagename,infection
Lactococcus_lactis,NC_018856,NoInf
Listeria_ivanovii,NC_018856,NoInf
Listeria_monocytogenes,NC_018856,NoInf
Salmonella_enterica,NC_018856,NoInf
Staphylococcus_aureus,NC_018856,NoInf
Staphylococcus_epidermidis,NC_018856,NoInf
Streptococcus_salivarius,NC_018856,NoInf
Campylobacter_coli,NC_018861,NoInf
Campylobacter_jejuni,NC_018861,Inf
Bacillus_cereus,NC_018863,Inf
Bacillus_thuringiensis,NC_018863,Inf
Enterococcus_faecalis,NC_018863,NoInf
Escherichia_coli,NC_018863,NoInf
Listeria_monocytogenes,NC_018863,NoInf
Salmonella_enterica,NC_018863,NoInf
Shigella_flexneri,NC_018863,NoInf
Staphylococcus_aureus,NC_018863,NoInf
Cronobacter_dublinensis,NC_019401,Inf
Cronobacter_malonaticus,NC_019401,Inf
Cronobacter_sakazakii,NC_019401,Inf
Cronobacter_universalis,NC_019401,NoInf
Pseudomonas_aeruginosa,NC_019451,Inf
Enterobacter_aerogenes,NC_019452,NoInf
Enterococcus_faecalis,NC_019452,NoInf
Escherichia_coli,NC_019452,Inf
Klebsiella_pneumoniae,NC_019452,NoInf
Proteus_mirabilis,NC_019452,NoInf
Salmonella_enterica,NC_019452,NoInf
Serratia_marcescens,NC_019452,NoInf
Shigella_dysentriae,NC_019452,NoInf
Erwinia_amylovora,NC_019504,Inf
Erwinia_billingiae,NC_019504,NoInf
Erwinia_persicina,NC_019504,NoInf
Pantoea_agglomerans,NC_019504,NoInf
Pantoea_ananatis,NC_019504,NoInf
Erwinia_amylovora,NC_019510,Inf
Erwinia_billingiae,NC_019510,NoInf
Erwinia_persicina,NC_019510,NoInf
Pantoea_agglomerans,NC_019510,Inf
Pantoea_ananatis,NC_019510,Inf
Erwinia_amylovora,NC_019514,Inf
Erwinia_billingiae,NC_019514,NoInf
Erwinia_persicina,NC_019514,NoInf
Pantoea_agglomerans,NC_019514,NoInf
Pantoea_ananatis,NC_019514,NoInf
Escherichia_coli,NC_019517,Inf
Salmonella_enterica,NC_019530,Inf
Lactobacillus_plantarum,NC_019916,Inf
Pseudomonas_aeruginosa,NC_019918,Inf
Dickeya_chrysanthemi,NC_019925,NoInf
Dickeya_dadantii,NC_019925,NoInf
Dickeya_dianthicola,NC_019925,NoInf
Dickeya_dieffenbachiae,NC_019925,NoInf
Dickeya_solani,NC_019925,Inf
Dickeya_zeae,NC_019925,NoInf
Helicobacter_pylori,NC_019928,Inf
Pseudomonas_aeruginosa,NC_019935,Inf
Leuconostoc_mesenteroides,NC_020870,NoInf
Leuconostoc_pseudomesenteroides,NC_020870,Inf
Bacillus_anthracis,NC_020873,Inf
Bacillus_cereus,NC_020873,Inf
Bacillus_licheniformis,NC_020873,Inf
Bacillus_megaterium,NC_020873,Inf
Bacillus_psychrosaccharolyticus,NC_020873,Inf
Bacillus_subtilis,NC_020873,NoInf
Bacillus_thuringiensis,NC_020873,Inf
Bacillus_weihenstephanensis,NC_020873,Inf
Leuconostoc_mesenteroides,NC_020880,NoInf
Leuconostoc_pseudomesenteroides,NC_020880,Inf
Gordonia_terrae,NC_021063,NoInf
Mycobacterium_avium,NC_021063,Inf
Mycobacterium_smegmatis,NC_021063,Inf
Nocardia_brasiliensis,NC_021063,NoInf
Nocardia_otitidiscaviarum,NC_021063,NoInf
Rhodococcus_erythropolis,NC_021063,NoInf
Rhodococcus_globerulus,NC_021063,NoInf
Alteromonas_macleodii,NC_021300,NoInf
Alteromonas_marina,NC_021300,NoInf
Idiomarina_fontislapidosi,NC_021300,NoInf
Idiomarina_loihiensis,NC_021300,NoInf
Pseudoalteromonas_arctica,NC_021300,NoInf
Pseudoalteromonas_atlantica,NC_021300,NoInf
Pseudoalteromonas_marina,NC_021300,Inf
Pseudoalteromonas_nigrifaciens,NC_021300,NoInf
Pseudoalteromonas_phenolica,NC_021300,NoInf
Pseudoalteromonas_translucida,NC_021300,NoInf
Mycobacterium_phlei,NC_021347,NoInf
Rhodococcus_equi,NC_021347,Inf
Rhodococcus_erythropolis,NC_021347,NoInf
Rhodococcus_fascians,NC_021347,NoInf
Rhodococcus_opacus,NC_021347,NoInf
Rhodococcus_rhodochrous,NC_021347,NoInf
Rhodococcus_ruber,NC_021347,NoInf
Bacillus_cereus,NC_021531,NoInf
Cronobacter_dublinensis,NC_021531,Inf
Cronobacter_malonaticus,NC_021531,Inf
Cronobacter_sakazakii,NC_021531,Inf
Cronobacter_turicensis,NC_021531,Inf
Enterobacter_aerogenes,NC_021531,NoInf
Enterobacter_agglomerans,NC_021531,Inf
Enterobacter_cloacae,NC_021531,Inf
Enterococcus_faecalis,NC_021531,NoInf
Escherichia_coli,NC_021531,NoInf
Klebsiella_oxytoca,NC_021531,NoInf
Klebsiella_pneumoniae,NC_021531,NoInf
Listeria_monocytogenes,NC_021531,NoInf
Pseudomonas_aeruginosa,NC_021531,NoInf
Salmonella_enterica,NC_021531,NoInf
Staphylococcus_aureus,NC_021531,NoInf
Vibrio_fischeri,NC_021531,NoInf
Vibrio_cholerae,NC_021562,Inf
Vibrio_fluvialis,NC_021562,NoInf
Vibrio_furnissii,NC_021562,NoInf
Vibrio_metschnikovii,NC_021562,Inf
